Start,End,Screen action,Framing,Safety/edit note,Narration purpose
00:00,00:18,Public Northstar Studio home page; open Admin,Wide,Opening title; no credentials,Welcome and goals
00:18,00:45,Signed-in dashboard; highlight tenant identity,Medium,Pause on site name,Confirm correct site
00:45,01:24,Slow sidebar tour,Close highlights,Do not open every page,Sidebar map
01:24,02:12,Dashboard cards and shortcuts,Medium,Avoid sensitive counts,Dashboard control room
02:12,02:48,"Open public site, Portfolio, return to admin",Wide,Use new tab,Preview habit
02:48,03:38,Onboarding page and reset control,Medium,Do not click reset,Checklist and tour
03:38,04:30,"Help index, function index, video directory",Medium,Show useful page headings,Help resources
04:30,05:10,Harmless edit page; point to Save; preview public page,Close,Make no production change,Edit-save-preview
05:10,05:46,Messages or Sales list from distance; return,Wide,No personal data,Privacy
05:46,06:10,Dashboard and next-video title card,Wide,Hold card 3 seconds,Closing
